system_kanji_profile_link,company_name,capital,establishment_year,number_of_members,company_website,location,representative,system_kanji_project_count
https://system-kanji.com/services/15429,エスティケイテクノロジー株式会社,"100,000,000円",1975年6月5日,528名（2020年4月1日付）,https://www.stk-net.co.jp/,〒 870-0108 大分県大分市大字三佐2468番地10,田﨑 方人,0
https://system-kanji.com/services/15421,株式会社ディーソルNSP,"10,000,000円",2005年5月27日,31名(2020年4月1日現在),http://nsp-comp.jp/,〒 850-0057 長崎県長崎市大黒町11-8 長崎東京生命館7階,今村 勇雄,0
https://system-kanji.com/services/15418,扇精光ソリューションズ株式会社,"4,800万円",2014年 5月1日,103名 （ 2019年7月1日現在 ）,https://www.ougis.co.jp/solutions,〒 851-0134 長崎県長崎市田中町585番地5,濵口 晴樹,0
https://system-kanji.com/services/15415,日本システム開発株式会社,"1,000万円",1998年3月26日,,https://www.nsgd.co.jp/nsd/,〒 761-8057 香川県高松市田村町968-1,城戸 崇雄,0
https://system-kanji.com/services/15407,アベテクノシステム株式会社,"5,000万円",1969年10月,117名（2020年12月現在）,https://www.abetechno.com/index.html,〒 146-0083 東京都大田区千鳥1-11-2,吉原 幸次,0
https://system-kanji.com/services/15404,セザックス株式会社,"184,910千円",1945年11月5日,345名：男224名、女121名(グループ全体 2020年9月1日現在),https://www.sezax.co.jp/,〒 146-0091 東京都大田区鵜の木2-9-7,馬場 明彦,0
https://system-kanji.com/services/15397,FutureOne株式会社,2億円,2002年10月1日,264名（2021年1月1日現在）,https://www.future-one.co.jp/index.html,〒 141-0032 東京都品川区大崎2-9-3 大崎ウエストシティビル 6F,佐藤 隆元,0
https://system-kanji.com/services/15395,株式会社リープソフト,"1,000万円",,20人,https://www.leapsoft.co.jp/,〒 140-0001 東京都品川区北品川1-2-7 アドバンス上地ビル4F,渡部 正人,0
https://system-kanji.com/services/15394,株式会社エンファシス,"30,000,000円",2003年11月26日,,http://www.emfasys.co.jp/index.html,〒 171-0021 東京都豊島区西池袋5丁目8番7号 深野ビル,有田 邦朗,0
https://system-kanji.com/services/15393,株式会社マーヴィンズ,"1,000万円",1998年10月,,https://www.marvins.co.jp/index.html,〒 171-0014 東京都豊島区池袋2-67-6-803,浅見 純人,0
https://system-kanji.com/services/15380,サンブランディング株式会社,"2,000万円",2008年1月25日,48名,https://www.sunbranding.co.jp/,〒 754-1277 山口県山口市阿知須4694番1,別府 栄時,0
https://system-kanji.com/services/15378,山陽システム株式会社,"1,000万円",1982年12月3日,,https://www.sanyou-system.co.jp/,〒 745-0035 山口県周南市有楽町36番地 高松ビル4F,川口 徹,0
https://system-kanji.com/services/15363,株式会社MARS,"10,000千円",2003年4月28日,,https://www.mars-corp.net/index.html,〒 401-0016 山梨県大月市大月町真木1892-1,田中 進,0
https://system-kanji.com/services/15555,株式会社ebookcloud,1億1006万円,2014年1月6日,30名（アルバイト含む）,https://ebookcloud.info/,〒 104-0061 東京都中央区銀座六丁目13番9号GIRAC GINZA 8階,稲垣 健二,0
https://system-kanji.com/services/17390,株式会社双子ゲームス,100万円,2015年7月,２名（役員１名、正社員１名）,https://futagogames.co.jp/,〒 924-0875 石川県白山市辰巳町60番地１ 械塚ビル２０１号,吉本 卓生,0
https://system-kanji.com/services/17388,奏風システムズ株式会社,5百万円,2013年8月,10名（2018年7月31日現在）,http://www.sofusys.co.jp/,〒 950-0916 新潟県新潟市中央区米山4丁目1番31号 紫竹総合ビル,赤塚 剛,0
https://system-kanji.com/services/17383,株式会社ネットコム,"3,000万円",2000年1月4日,,https://www.netcom-inc.co.jp/,〒 441-8086 愛知県豊橋市問屋町26-1,渡会 宏明,0
https://system-kanji.com/services/17377,JDXソリューションズ株式会社,"10,000,000円",2017年4月17日,,https://xos.co.jp/,〒 020-0021 岩手県盛岡市中央通り1-9-11 CUBE映画館通ビル4F,二見 和夫,0
